"IDX","Value","adjmth1","adjmth3","adjmth13","rm1","rm3","rm13","PrefMeth"
"2019_Preston_STD",0.53640350877193,0.432521550790557,0.326179228267859,0.432521550790557,124.022753055657,164.455541998166,124.022753055657,"m3"
"2019_Preston_V1",0.518311403508772,0.385775828460039,0.432348932967855,0.385775828460039,134.360593396765,119.887660505446,134.360593396765,"m1"
"2019_Preston_V2",0.735855263157895,0.370964695689842,0.314838325322629,0.370964695689842,198.367612859832,233.729805391412,198.367612859832,"m3"
"2019_Preston_V3",0.473574561403509,0.219964424951267,0.140309751001699,0.219964424951267,215.300978660381,337.525776726185,215.300978660381,"m3"
"2019_Preston_W1",2.32357456140351,1.36685964912281,1.68569650358912,1.14045651588368,169.998646596758,137.845622938723,203.74574145239,"m13"
"2019_Preston_W2",1.52094298245614,0.956500270738575,0.719569483428893,0.956500270738575,159.016244323195,211.373466490344,159.016244323195,"m3"
"2019_Preston_W3",1.65219298245614,1.35123682856833,1.24497984943065,1.28976238119502,122.277642924237,132.713411562782,128.105571589421,"m3"
