"IDROWCOL","Value"
"2019_Preston_W2_3_9",5
"2019_Preston_W3_3_9",6
"2019_Preston_STD_4_1",3
"2019_Preston_V1_4_1",3
"2019_Preston_V2_4_1",2
"2019_Preston_V3_4_1",2
"2019_Preston_W1_4_1",1
"2019_Preston_W2_4_1",3
"2019_Preston_W3_4_1",1
"2019_Preston_STD_4_2",4
"2019_Preston_V1_4_2",4
"2019_Preston_V2_4_2",3
"2019_Preston_V3_4_2",3
"2019_Preston_W1_4_2",1
"2019_Preston_W2_4_2",4
"2019_Preston_W3_4_2",4
"2019_Preston_STD_4_3",3
"2019_Preston_V1_4_3",3
"2019_Preston_V2_4_3",3
"2019_Preston_V3_4_3",4
"2019_Preston_W1_4_3",1
"2019_Preston_W2_4_3",4
"2019_Preston_W3_4_3",4
"2019_Preston_STD_4_4",3
"2019_Preston_V1_4_4",3
"2019_Preston_V2_4_4",3
"2019_Preston_V3_4_4",3
"2019_Preston_W1_4_4",1
"2019_Preston_W2_4_4",4
"2019_Preston_W3_4_4",4
"2019_Preston_STD_4_5",3
"2019_Preston_V1_4_5",2
"2019_Preston_V2_4_5",2
"2019_Preston_V3_4_5",2
"2019_Preston_W1_4_5",1
"2019_Preston_W2_4_5",2
"2019_Preston_W3_4_5",0
"2019_Preston_STD_4_6",3
"2019_Preston_V1_4_6",2
"2019_Preston_V2_4_6",2
"2019_Preston_V3_4_6",2
"2019_Preston_W1_4_6",1
"2019_Preston_W2_4_6",4
"2019_Preston_W3_4_6",4
"2019_Preston_STD_4_7",2
"2019_Preston_V1_4_7",2
"2019_Preston_V2_4_7",2
"2019_Preston_V3_4_7",3
"2019_Preston_W1_4_7",1
"2019_Preston_W2_4_7",3
"2019_Preston_W3_4_7",5
"2019_Preston_STD_4_8",2
"2019_Preston_V1_4_8",2
"2019_Preston_V2_4_8",2
"2019_Preston_V3_4_8",2
"2019_Preston_W1_4_8",1
"2019_Preston_W2_4_8",1
"2019_Preston_W3_4_8",1
"2019_Preston_STD_4_9",2
"2019_Preston_V1_4_9",2
"2019_Preston_V2_4_9",1
"2019_Preston_V3_4_9",3
"2019_Preston_W1_4_9",1
"2019_Preston_W2_4_9",4
"2019_Preston_W3_4_9",3
"2019_Preston_STD_5_1",3
