Genotype	Trait	2019/Preston	Mean	CV (%)
BxN-RIL-354-24	V1	1.81	1.81	.
BxN-RIL-354-26	V1	3.35	3.35	.
BxN-RIL-354-28	V1	3.12	3.12	.
BxN-RIL-354-29	V1	2.93	2.93	.
BxN-RIL-354-4	V1	3.8	3.8	.
BxN-RIL-354-5	V1	2.98	2.98	.
BxN-RIL-354-7	V1	1.71	1.71	.
BxN-RIL-354-8	V1	3.63	3.63	.
BxN-RIL-354-9	V1	2.24	2.24	.
BxN-RIL-355-1	V1	2.8	2.8	.
BxN-RIL-355-12	V1	3.43	3.43	.
BxN-RIL-355-13	V1	2.25	2.25	.
BxN-RIL-355-14	V1	1.46	1.46	.
BxN-RIL-355-15	V1	1.72	1.72	.
BxN-RIL-355-16	V1	1.28	1.28	.
BxN-RIL-355-17	V1	2.28	2.28	.
BxN-RIL-355-2	V1	2.25	2.25	.
BxN-RIL-355-20	V1	3.46	3.46	.
BxN-RIL-355-21	V1	2.09	2.09	.
BxN-RIL-355-22	V1	2.38	2.38	.
BxN-RIL-355-23	V1	2.46	2.46	.
BxN-RIL-355-26	V1	2.46	2.46	.
BxN-RIL-355-27	V1	2.46	2.46	.
BxN-RIL-355-3	V1	3.35	3.35	.
BxN-RIL-355-4	V1	2.89	2.89	.
BxN-RIL-355-5	V1	3.29	3.29	.
BxN-RIL-355-6	V1	3.35	3.35	.
BxN-RIL-355-7	V1	2.42	2.42	.
BxN-RIL-355-8	V1	1.15	1.15	.
BxN-RIL-355-9	V1	3.35	3.35	.
BxN-RIL-356-1	V1	2.81	2.81	.
BxN-RIL-356-10	V1	3.61	3.61	.
BxN-RIL-356-12	V1	2.93	2.93	.
BxN-RIL-356-13	V1	1.92	1.92	.
BxN-RIL-356-14	V1	2.12	2.12	.
BxN-RIL-356-15	V1	3.74	3.74	.
BxN-RIL-356-16	V1	2.46	2.46	.
BxN-RIL-356-17	V1	3.1	3.1	.
BxN-RIL-356-18	V1	2.89	2.89	.
BxN-RIL-356-19	V1	3.35	3.35	.
BxN-RIL-356-2	V1	3	3	.
BxN-RIL-356-20	V1	2.55	2.55	.
BxN-RIL-356-21	V1	3.04	3.04	.
BxN-RIL-356-22	V1	2.61	2.61	.
BxN-RIL-356-23	V1	0.8	0.8	.
BxN-RIL-356-3	V1	3.03	3.03	.
BxN-RIL-356-4	V1	4.34	4.34	.
BxN-RIL-356-5	V1	4.9	4.9	.
BxN-RIL-356-6	V1	3.01	3.01	.
BxN-RIL-356-7	V1	2.29	2.29	.
BxN-RIL-356-9	V1	1.14	1.14	.
BxN-RIL-357-1	V1	2.65	2.65	.
BxN-RIL-357-11	V1	3.09	3.09	.
BxN-RIL-357-12	V1	2.17	2.17	.
BxN-RIL-357-13	V1	1.93	1.93	.
BxN-RIL-357-15	V1	3.24	3.24	.
BxN-RIL-357-16	V1	2.63	2.63	.
BxN-RIL-357-18	V1	4.03	4.03	.
BxN-RIL-357-19	V1	1.83	1.83	.
BxN-RIL-357-2	V1	2.55	2.55	.
BxN-RIL-357-20	V1	3.93	3.93	.
BxN-RIL-357-21	V1	3.01	3.01	.
BxN-RIL-357-22	V1	1.14	1.14	.
BxN-RIL-357-23	V1	1.03	1.03	.
BxN-RIL-357-24	V1	5.42	5.42	.
BxN-RIL-357-25	V1	1.63	1.63	.
BxN-RIL-357-26	V1	2.04	2.04	.
BxN-RIL-357-27	V1	3.29	3.29	.
BxN-RIL-357-30	V1	2.28	2.28	.
BxN-RIL-357-31	V1	3.34	3.34	.
BxN-RIL-357-32	V1	3.2	3.2	.
BxN-RIL-357-4	V1	2.92	2.92	.
BxN-RIL-357-5	V1	2.14	2.14	.
BxN-RIL-357-7	V1	2.59	2.59	.
BxN-RIL-357-8	V1	3.12	3.12	.
BxN-RIL-357-9	V1	0.92	0.92	.
BxN-RIL-358-1	V1	2.12	2.12	.
BxN-RIL-358-10	V1	3.15	3.15	.
BxN-RIL-358-11	V1	1.93	1.93	.
BxN-RIL-358-12	V1	3.46	3.46	.
BxN-RIL-358-13	V1	1.81	1.81	.
BxN-RIL-358-14	V1	2.07	2.07	.
BxN-RIL-358-15	V1	1.91	1.91	.
BxN-RIL-358-19	V1	3.63	3.63	.
BxN-RIL-358-20	V1	1.8	1.8	.
BxN-RIL-358-21	V1	2.83	2.83	.
BxN-RIL-358-22	V1	2.66	2.66	.
BxN-RIL-358-23	V1	2.45	2.45	.
BxN-RIL-358-24	V1	2.45	2.45	.
BxN-RIL-358-25	V1	2.35	2.35	.
BxN-RIL-358-26	V1	3.24	3.24	.
BxN-RIL-358-27	V1	2.46	2.46	.
BxN-RIL-358-28	V1	3.45	3.45	.
BxN-RIL-358-29	V1	3.83	3.83	.
BxN-RIL-358-3	V1	2.54	2.54	.
BxN-RIL-358-30	V1	2.45	2.45	.
BxN-RIL-358-31	V1	2.23	2.23	.
BxN-RIL-358-4	V1	3.34	3.34	.
BxN-RIL-358-6	V1	3.81	3.81	.
BxN-RIL-358-9	V1	2.09	2.09	.
BxN-RIL-359-1	V1	4.07	4.07	.
BxN-RIL-359-10	V1	1.46	1.46	.
BxN-RIL-359-11	V1	4.34	4.34	.
BxN-RIL-359-12	V1	1.03	1.03	.
BxN-RIL-359-13	V1	2.71	2.71	.
BxN-RIL-359-14	V1	2.4	2.4	.
BxN-RIL-359-15	V1	2.67	2.67	.
BxN-RIL-359-16	V1	2.71	2.71	.
BxN-RIL-359-17	V1	3.83	3.83	.
BxN-RIL-359-18	V1	1.03	1.03	.
BxN-RIL-359-19	V1	2.94	2.94	.
BxN-RIL-359-2	V1	3.57	3.57	.
BxN-RIL-359-21	V1	3.34	3.34	.
BxN-RIL-359-22	V1	2.14	2.14	.
BxN-RIL-359-23	V1	2.22	2.22	.
BxN-RIL-359-24	V1	2.44	2.44	.
BxN-RIL-359-25	V1	3.35	3.35	.
BxN-RIL-359-26	V1	3.81	3.81	.
BxN-RIL-359-27	V1	2.81	2.81	.
BxN-RIL-359-28	V1	2.27	2.27	.
BxN-RIL-359-29	V1	3.14	3.14	.
BxN-RIL-359-30	V1	2.8	2.8	.
BxN-RIL-359-31	V1	4.14	4.14	.
BxN-RIL-359-4	V1	2.87	2.87	.
BxN-RIL-359-5	V1	2.83	2.83	.
BxN-RIL-359-6	V1	2.4	2.4	.
BxN-RIL-359-7	V1	2.5	2.5	.
BxN-RIL-359-8	V1	2.15	2.15	.
BxN-RIL-359-9	V1	3.13	3.13	.
BxN-RIL-360-1	V1	0.93	0.93	.
BxN-RIL-360-11	V1	2.74	2.74	.
BxN-RIL-360-12	V1	2	2	.
BxN-RIL-360-13	V1	4.42	4.42	.
BxN-RIL-360-14	V1	3.55	3.55	.
BxN-RIL-360-15	V1	1.79	1.79	.
BxN-RIL-360-16	V1	3.24	3.24	.
BxN-RIL-360-17	V1	2.71	2.71	.
BxN-RIL-360-18	V1	4.01	4.01	.
BxN-RIL-360-19	V1	1.06	1.06	.
BxN-RIL-360-2	V1	2.23	2.23	.
BxN-RIL-360-20	V1	3.12	3.12	.
BxN-RIL-360-21	V1	1.46	1.46	.
BxN-RIL-360-22	V1	3.34	3.34	.
BxN-RIL-360-23	V1	0.27	0.27	.
BxN-RIL-360-24	V1	4.07	4.07	.
BxN-RIL-360-25	V1	2.24	2.24	.
BxN-RIL-360-26	V1	3.83	3.83	.
BxN-RIL-360-27	V1	1.2	1.2	.
BxN-RIL-360-28	V1	3.42	3.42	.
BxN-RIL-360-29	V1	3.89	3.89	.
BxN-RIL-360-3	V1	2.43	2.43	.
BxN-RIL-360-30	V1	3	3	.
BxN-RIL-360-31	V1	3.17	3.17	.
BxN-RIL-360-32	V1	4.12	4.12	.
BxN-RIL-360-4	V1	2.5	2.5	.
BxN-RIL-360-5	V1	3.12	3.12	.
BxN-RIL-360-6	V1	2.22	2.22	.
BxN-RIL-360-7	V1	1.89	1.89	.
BxN-RIL-360-8	V1	3.4	3.4	.
Flanders	V1	2.63	2.63	.
NorLin	V1	3.46	3.46	.
Novelty	V1	3.63	3.63	.
Novelty1	V1	2.1	2.1	.
Novelty2	V1	3.56	3.56	.
Novelty3	V1	5.03	5.03	.
Novelty4	V1	5.22	5.22	.
Novelty5	V1	4.01	4.01	.
NxB-RIL-361-1	V1	2.38	2.38	.
NxB-RIL-361-10	V1	2.8	2.8	.
NxB-RIL-361-11	V1	1.5	1.5	.
NxB-RIL-361-12	V1	0.83	0.83	.
NxB-RIL-361-13	V1	2.14	2.14	.
NxB-RIL-361-14	V1	3.17	3.17	.
NxB-RIL-361-15	V1	2.83	2.83	.
NxB-RIL-361-16	V1	3.86	3.86	.
NxB-RIL-361-17	V1	1.5	1.5	.
NxB-RIL-361-18	V1	3.07	3.07	.
NxB-RIL-361-19	V1	2.83	2.83	.
NxB-RIL-361-2	V1	0.93	0.93	.
NxB-RIL-361-20	V1	2.35	2.35	.
NxB-RIL-361-21	V1	2.79	2.79	.
NxB-RIL-361-22	V1	2.15	2.15	.
NxB-RIL-361-23	V1	2.12	2.12	.
NxB-RIL-361-24	V1	1.81	1.81	.
NxB-RIL-361-25	V1	1.9	1.9	.
NxB-RIL-361-26	V1	3.38	3.38	.
NxB-RIL-361-27	V1	3.56	3.56	.
NxB-RIL-361-28	V1	2.44	2.44	.
NxB-RIL-361-3	V1	3.17	3.17	.
NxB-RIL-361-30	V1	2.22	2.22	.
NxB-RIL-361-31	V1	3.17	3.17	.
NxB-RIL-361-32	V1	2.63	2.63	.
NxB-RIL-361-33	V1	1.92	1.92	.
NxB-RIL-361-34	V1	2.57	2.57	.
NxB-RIL-361-4	V1	3.91	3.91	.
NxB-RIL-361-6	V1	1.81	1.81	.
NxB-RIL-361-7	V1	3.13	3.13	.
NxB-RIL-361-8	V1	2.61	2.61	.
NxB-RIL-361-9	V1	1.63	1.63	.
NxB-RIL-362-10	V1	2.74	2.74	.
NxB-RIL-362-11	V1	1.43	1.43	.
NxB-RIL-362-13	V1	3.45	3.45	.
NxB-RIL-362-14	V1	2.46	2.46	.
NxB-RIL-362-15	V1	2.27	2.27	.
NxB-RIL-362-16	V1	3.01	3.01	.
NxB-RIL-362-17	V1	3.35	3.35	.
NxB-RIL-362-18	V1	4.34	4.34	.
NxB-RIL-362-19	V1	2.42	2.42	.
NxB-RIL-362-2	V1	1.61	1.61	.
NxB-RIL-362-20	V1	2.87	2.87	.
NxB-RIL-362-21	V1	3.27	3.27	.
NxB-RIL-362-22	V1	2.74	2.74	.
NxB-RIL-362-26	V1	1.81	1.81	.
NxB-RIL-362-28	V1	1.23	1.23	.
NxB-RIL-362-3	V1	1.27	1.27	.
NxB-RIL-362-30	V1	3.71	3.71	.
NxB-RIL-362-31	V1	3.35	3.35	.
NxB-RIL-362-32	V1	2.83	2.83	.
NxB-RIL-362-33	V1	2.35	2.35	.
NxB-RIL-362-4	V1	2.72	2.72	.
NxB-RIL-362-5	V1	3.46	3.46	.
NxB-RIL-362-6	V1	4.14	4.14	.
NxB-RIL-362-8	V1	1.91	1.91	.
NxB-RIL-362-9	V1	2.37	2.37	.
NxB-RIL-363-1	V1	1.81	1.81	.
NxB-RIL-363-11	V1	2.35	2.35	.
NxB-RIL-363-12	V1	1.89	1.89	.
NxB-RIL-363-13	V1	2.93	2.93	.
NxB-RIL-363-14	V1	2.03	2.03	.
NxB-RIL-363-15	V1	2.91	2.91	.
NxB-RIL-363-16	V1	2.71	2.71	.
NxB-RIL-363-18	V1	3.27	3.27	.
NxB-RIL-363-19	V1	3.62	3.62	.
NxB-RIL-363-2	V1	3.63	3.63	.
NxB-RIL-363-20	V1	3.42	3.42	.
NxB-RIL-363-21	V1	3.17	3.17	.
NxB-RIL-363-24	V1	1.57	1.57	.
NxB-RIL-363-25	V1	1.27	1.27	.
NxB-RIL-363-26	V1	3.14	3.14	.
NxB-RIL-363-5	V1	1.92	1.92	.
NxB-RIL-363-6	V1	1.06	1.06	.
NxB-RIL-363-7	V1	2.59	2.59	.
NxB-RIL-363-8	V1	2.28	2.28	.
NxB-RIL-364-1	V1	1.93	1.93	.
NxB-RIL-364-10	V1	4.17	4.17	.
NxB-RIL-364-11	V1	2.93	2.93	.
NxB-RIL-364-12	V1	2.54	2.54	.
NxB-RIL-364-14	V1	4.9	4.9	.
NxB-RIL-364-15	V1	2.61	2.61	.
NxB-RIL-364-16	V1	2.92	2.92	.
NxB-RIL-364-17	V1	2	2	.
NxB-RIL-364-18	V1	2.15	2.15	.
NxB-RIL-364-19	V1	4.14	4.14	.
NxB-RIL-364-2	V1	2.35	2.35	.
NxB-RIL-364-20	V1	2.24	2.24	.
NxB-RIL-364-21	V1	3.71	3.71	.
NxB-RIL-364-23	V1	1.61	1.61	.
NxB-RIL-364-24	V1	4.12	4.12	.
NxB-RIL-364-25	V1	1.46	1.46	.
NxB-RIL-364-26	V1	3.35	3.35	.
NxB-RIL-364-3	V1	2.74	2.74	.
NxB-RIL-364-4	V1	2.01	2.01	.
NxB-RIL-364-5	V1	3.34	3.34	.
NxB-RIL-364-6	V1	1.93	1.93	.
NxB-RIL-364-7	V1	1.34	1.34	.
NxB-RIL-364-8	V1	3.14	3.14	.
NxB-RIL-364-9	V1	3.03	3.03	.
NxB-RIL-365-1	V1	3.71	3.71	.
NxB-RIL-365-10	V1	2.54	2.54	.
NxB-RIL-365-11	V1	2.43	2.43	.
NxB-RIL-365-12	V1	1.35	1.35	.
NxB-RIL-365-13	V1	2.14	2.14	.
NxB-RIL-365-14	V1	1.25	1.25	.
NxB-RIL-365-16	V1	2.22	2.22	.
NxB-RIL-365-17	V1	1.14	1.14	.
NxB-RIL-365-18	V1	1.87	1.87	.
NxB-RIL-365-2	V1	1.74	1.74	.
NxB-RIL-365-20	V1	1.92	1.92	.
NxB-RIL-365-21	V1	2.94	2.94	.
NxB-RIL-365-22	V1	1.63	1.63	.
NxB-RIL-365-23	V1	3.45	3.45	.
NxB-RIL-365-24	V1	2.13	2.13	.
NxB-RIL-365-25	V1	2.27	2.27	.
NxB-RIL-365-26	V1	2.29	2.29	.
NxB-RIL-365-27	V1	2.01	2.01	.
NxB-RIL-365-28	V1	0.87	0.87	.
NxB-RIL-365-3	V1	2.57	2.57	.
NxB-RIL-365-5	V1	1.91	1.91	.
NxB-RIL-365-6	V1	2.67	2.67	.
NxB-RIL-365-7	V1	2.38	2.38	.
NxB-RIL-365-8	V1	2.4	2.4	.
NxB-RIL-365-9	V1	3.22	3.22	.
NxB-RIL-366-1	V1	2.86	2.86	.
NxB-RIL-366-10	V1	1.22	1.22	.
NxB-RIL-366-11	V1	1.5	1.5	.
NxB-RIL-366-12	V1	3.12	3.12	.
NxB-RIL-366-13	V1	3.56	3.56	.
NxB-RIL-366-15	V1	3.12	3.12	.
NxB-RIL-366-16	V1	3.54	3.54	.
NxB-RIL-366-17	V1	3.93	3.93	.
NxB-RIL-366-18	V1	1.71	1.71	.
NxB-RIL-366-2	V1	2.14	2.14	.
NxB-RIL-366-21	V1	2.63	2.63	.
NxB-RIL-366-22	V1	2.55	2.55	.
NxB-RIL-366-23	V1	2.17	2.17	.
NxB-RIL-366-24	V1	2.89	2.89	.
NxB-RIL-366-25	V1	3.43	3.43	.
NxB-RIL-366-26	V1	1.81	1.81	.
NxB-RIL-366-3	V1	3.09	3.09	.
NxB-RIL-366-5	V1	1.81	1.81	.
NxB-RIL-366-6	V1	2.27	2.27	.
NxB-RIL-366-7	V1	2.01	2.01	.
NxB-RIL-366-8	V1	2.55	2.55	.
NxB-RIL-366-9	V1	2.35	2.35	.
NxB-RIL-367-1	V1	2.2	2.2	.
NxB-RIL-367-10	V1	3.07	3.07	.
NxB-RIL-367-11	V1	2.55	2.55	.
NxB-RIL-367-12	V1	2.57	2.57	.
NxB-RIL-367-13	V1	3.35	3.35	.
NxB-RIL-367-14	V1	2.92	2.92	.
NxB-RIL-367-15	V1	4.42	4.42	.
NxB-RIL-367-16	V1	3.56	3.56	.
NxB-RIL-367-17	V1	2.35	2.35	.
NxB-RIL-367-18	V1	2.13	2.13	.
NxB-RIL-367-19	V1	1.2	1.2	.
NxB-RIL-367-2	V1	3.4	3.4	.
NxB-RIL-367-20	V1	3.86	3.86	.
NxB-RIL-367-21	V1	2.71	2.71	.
NxB-RIL-367-22	V1	1.83	1.83	.
NxB-RIL-367-23	V1	2.34	2.34	.
NxB-RIL-367-24	V1	1.1	1.1	.
NxB-RIL-367-25	V1	3.23	3.23	.
NxB-RIL-367-3	V1	1.27	1.27	.
NxB-RIL-367-5	V1	2.2	2.2	.
NxB-RIL-367-6	V1	2.2	2.2	.
NxB-RIL-367-7	V1	2.25	2.25	.
NxB-RIL-367-9	V1	2.92	2.92	.
NxB-RIL-368-1	V1	1.93	1.93	.
NxB-RIL-368-12	V1	2.46	2.46	.
NxB-RIL-368-13	V1	1	1	.
NxB-RIL-368-15	V1	0.83	0.83	.
NxB-RIL-368-16	V1	0.87	0.87	.
NxB-RIL-368-17	V1	1.91	1.91	.
NxB-RIL-368-18	V1	2.98	2.98	.
NxB-RIL-368-19	V1	2.22	2.22	.
NxB-RIL-368-20	V1	4.01	4.01	.
NxB-RIL-368-21	V1	2.94	2.94	.
NxB-RIL-368-22	V1	2.37	2.37	.
NxB-RIL-368-23	V1	2.1	2.1	.
NxB-RIL-368-24	V1	1.22	1.22	.
NxB-RIL-368-25	V1	3.22	3.22	.
NxB-RIL-368-26	V1	2.5	2.5	.
NxB-RIL-368-27	V1	2.81	2.81	.
NxB-RIL-368-28	V1	1.22	1.22	.
NxB-RIL-368-29	V1	2.93	2.93	.
NxB-RIL-368-3	V1	2.93	2.93	.
NxB-RIL-368-4	V1	2.46	2.46	.
NxB-RIL-368-5	V1	2.46	2.46	.
NxB-RIL-368-6	V1	3.56	3.56	.
NxB-RIL-368-8	V1	1.15	1.15	.
NxB-RIL-368-9	V1	2.23	2.23	.
NxB-RIL-369-1	V1	0.46	0.46	.
NxB-RIL-369-10	V1	2.67	2.67	.
NxB-RIL-369-11	V1	4.24	4.24	.
NxB-RIL-369-12	V1	1.09	1.09	.
NxB-RIL-369-13	V1	3.1	3.1	.
NxB-RIL-369-14	V1	1.92	1.92	.
NxB-RIL-369-15	V1	1.98	1.98	.
NxB-RIL-369-16	V1	2.14	2.14	.
NxB-RIL-369-19	V1	3.34	3.34	.
NxB-RIL-369-20	V1	1.34	1.34	.
NxB-RIL-369-21	V1	2.29	2.29	.
NxB-RIL-369-22	V1	1.9	1.9	.
NxB-RIL-369-23	V1	2.04	2.04	.
NxB-RIL-369-25	V1	2.14	2.14	.
NxB-RIL-369-26	V1	3.42	3.42	.
NxB-RIL-369-27	V1	2.81	2.81	.
NxB-RIL-369-28	V1	3.37	3.37	.
NxB-RIL-369-3	V1	2.01	2.01	.
NxB-RIL-369-4	V1	1.72	1.72	.
NxB-RIL-369-5	V1	2.63	2.63	.
NxB-RIL-369-6	V1	3.83	3.83	.
NxB-RIL-369-7	V1	3	3	.
NxB-RIL-369-8	V1	1.81	1.81	.
NxB-RIL-369-9	V1	3.25	3.25	.
NxB-RIL-370-1	V1	3.01	3.01	.
NxB-RIL-370-10	V1	2.35	2.35	.
NxB-RIL-370-11	V1	3.14	3.14	.
NxB-RIL-370-12	V1	3.35	3.35	.
NxB-RIL-370-14	V1	1.06	1.06	.
NxB-RIL-370-15	V1	3.24	3.24	.
NxB-RIL-370-17	V1	1.83	1.83	.
NxB-RIL-370-18	V1	3.43	3.43	.
NxB-RIL-370-19	V1	3.12	3.12	.
NxB-RIL-370-2	V1	1.28	1.28	.
NxB-RIL-370-20	V1	2.74	2.74	.
NxB-RIL-370-21	V1	1.81	1.81	.
NxB-RIL-370-23	V1	4.54	4.54	.
NxB-RIL-370-24	V1	1.38	1.38	.
NxB-RIL-370-25	V1	3.12	3.12	.
NxB-RIL-370-26	V1	1.55	1.55	.
NxB-RIL-370-28	V1	3.62	3.62	.
NxB-RIL-370-3	V1	2.81	2.81	.
NxB-RIL-370-4	V1	2.63	2.63	.
NxB-RIL-370-5	V1	2.01	2.01	.
NxB-RIL-370-7	V1	2.14	2.14	.
NxB-RIL-370-8	V1	2.59	2.59	.
NxB-RIL-370-9	V1	1.92	1.92	.
NxB-RIL-371-1	V1	3.03	3.03	.
NxB-RIL-371-10	V1	3.42	3.42	.
NxB-RIL-371-11	V1	2.54	2.54	.
NxB-RIL-371-12	V1	3.9	3.9	.
NxB-RIL-371-13	V1	3.04	3.04	.
NxB-RIL-371-14	V1	2.01	2.01	.
NxB-RIL-371-15	V1	2.35	2.35	.
NxB-RIL-371-17	V1	3.01	3.01	.
NxB-RIL-371-18	V1	2.67	2.67	.
NxB-RIL-371-19	V1	2.72	2.72	.
NxB-RIL-371-2	V1	3.35	3.35	.
NxB-RIL-371-20	V1	2.46	2.46	.
NxB-RIL-371-21	V1	3.34	3.34	.
NxB-RIL-371-22	V1	1.94	1.94	.
NxB-RIL-371-3	V1	1.92	1.92	.
NxB-RIL-371-6	V1	3.46	3.46	.
NxB-RIL-371-7	V1	3.1	3.1	.
NxB-RIL-371-8	V1	2.59	2.59	.
NxB-RIL-371-9	V1	2.07	2.07	.
NxB-RIL-372-1	V1	2.66	2.66	.
NxB-RIL-372-10	V1	3.42	3.42	.
NxB-RIL-372-11	V1	2.71	2.71	.
NxB-RIL-372-12	V1	2.24	2.24	.
NxB-RIL-372-13	V1	3.1	3.1	.
NxB-RIL-372-14	V1	1.79	1.79	.
NxB-RIL-372-15	V1	3.03	3.03	.
NxB-RIL-372-16	V1	1.67	1.67	.
NxB-RIL-372-19	V1	2.14	2.14	.
NxB-RIL-372-20	V1	2.86	2.86	.
NxB-RIL-372-21	V1	2.22	2.22	.
NxB-RIL-372-22	V1	4.66	4.66	.
NxB-RIL-372-23	V1	3.63	3.63	.
NxB-RIL-372-24	V1	2.91	2.91	.
NxB-RIL-372-26	V1	1.83	1.83	.
NxB-RIL-372-27	V1	3.45	3.45	.
NxB-RIL-372-28	V1	2.61	2.61	.
NxB-RIL-372-29	V1	1.83	1.83	.
NxB-RIL-372-30	V1	3.71	3.71	.
NxB-RIL-372-31	V1	2.62	2.62	.
NxB-RIL-372-4	V1	3.04	3.04	.
NxB-RIL-372-5	V1	1.72	1.72	.
NxB-RIL-372-6	V1	2.42	2.42	.
NxB-RIL-372-7	V1	1.93	1.93	.
NxB-RIL-372-9	V1	2.28	2.28	.
NxB-RIL-373-1	V1	2.14	2.14	.
NxB-RIL-373-10	V1	3.66	3.66	.
NxB-RIL-373-11	V1	4.43	4.43	.
NxB-RIL-373-12	V1	3.34	3.34	.
NxB-RIL-373-13	V1	3.24	3.24	.
NxB-RIL-373-14	V1	2.45	2.45	.
NxB-RIL-373-15	V1	2.43	2.43	.
NxB-RIL-373-16	V1	4.24	4.24	.
NxB-RIL-373-17	V1	1.71	1.71	.
NxB-RIL-373-18	V1	2.62	2.62	.
NxB-RIL-373-19	V1	2.12	2.12	.
NxB-RIL-373-2	V1	2.1	2.1	.
NxB-RIL-373-20	V1	3.56	3.56	.
NxB-RIL-373-21	V1	1.81	1.81	.
NxB-RIL-373-22	V1	1.83	1.83	.
NxB-RIL-373-23	V1	2.59	2.59	.
NxB-RIL-373-24	V1	3.37	3.37	.
NxB-RIL-373-25	V1	1.93	1.93	.
NxB-RIL-373-26	V1	2.83	2.83	.
NxB-RIL-373-27	V1	1.81	1.81	.
NxB-RIL-373-28	V1	2.63	2.63	.
NxB-RIL-373-29	V1	3.27	3.27	.
NxB-RIL-373-3	V1	0.91	0.91	.
NxB-RIL-373-30	V1	2.94	2.94	.
NxB-RIL-373-31	V1	2.01	2.01	.
NxB-RIL-373-4	V1	1.71	1.71	.
NxB-RIL-373-5	V1	2.92	2.92	.
NxB-RIL-373-6	V1	3.22	3.22	.
NxB-RIL-373-7	V1	3.1	3.1	.
NxB-RIL-373-8	V1	1.72	1.72	.
NxB-RIL-373-9	V1	3.01	3.01	.
NxB-RIL-374-10	V1	3.35	3.35	.
NxB-RIL-374-12	V1	3.63	3.63	.
NxB-RIL-374-13	V1	2.55	2.55	.
NxB-RIL-374-14	V1	3.42	3.42	.
NxB-RIL-374-15	V1	2.38	2.38	.
NxB-RIL-374-16	V1	3.35	3.35	.
NxB-RIL-374-17	V1	3.86	3.86	.
NxB-RIL-374-18	V1	1.15	1.15	.
NxB-RIL-374-19	V1	3.62	3.62	.
NxB-RIL-374-2	V1	1.22	1.22	.
NxB-RIL-374-21	V1	2.34	2.34	.
NxB-RIL-374-22	V1	2.87	2.87	.
NxB-RIL-374-23	V1	1.63	1.63	.
NxB-RIL-374-24	V1	3.34	3.34	.
NxB-RIL-374-25	V1	3.54	3.54	.
NxB-RIL-374-26	V1	3.46	3.46	.
NxB-RIL-374-27	V1	0.8	0.8	.
NxB-RIL-374-28	V1	1.29	1.29	.
NxB-RIL-374-29	V1	0.06	0.06	.
NxB-RIL-374-3	V1	0.93	0.93	.
NxB-RIL-374-30	V1	3.56	3.56	.
NxB-RIL-374-31	V1	2.43	2.43	.
NxB-RIL-374-4	V1	3.17	3.17	.
NxB-RIL-374-5	V1	1.63	1.63	.
NxB-RIL-374-6	V1	3.14	3.14	.
NxB-RIL-374-9	V1	2.93	2.93	.
NxB-RIL-375-1	V1	2.43	2.43	.
NxB-RIL-375-10	V1	2.22	2.22	.
NxB-RIL-375-11	V1	3.01	3.01	.
NxB-RIL-375-12	V1	3.34	3.34	.
NxB-RIL-375-13	V1	1.61	1.61	.
NxB-RIL-375-14	V1	4.98	4.98	.
NxB-RIL-375-15	V1	2.44	2.44	.
NxB-RIL-375-17	V1	5.56	5.56	.
NxB-RIL-375-18	V1	0.59	0.59	.
NxB-RIL-375-19	V1	1.83	1.83	.
NxB-RIL-375-2	V1	3.23	3.23	.
NxB-RIL-375-20	V1	1.14	1.14	.
NxB-RIL-375-21	V1	2.65	2.65	.
NxB-RIL-375-22	V1	3.42	3.42	.
NxB-RIL-375-23	V1	1.94	1.94	.
NxB-RIL-375-3	V1	2.63	2.63	.
NxB-RIL-375-4	V1	2.63	2.63	.
NxB-RIL-375-5	V1	1.17	1.17	.
NxB-RIL-375-6	V1	2.65	2.65	.
NxB-RIL-375-7	V1	2.63	2.63	.
NxB-RIL-375-8	V1	1.06	1.06	.
NxB-RIL-375-9	V1	2.2	2.2	.
Bison1	V2	2.31	2.31	.
Bison2	V2	1.93	1.93	.
Bison3	V2	1.52	1.52	.
Bison4	V2	2.57	2.57	.
Bison5	V2	2.88	2.88	.
BxN-RIL-346-1	V2	3.46	3.46	.
BxN-RIL-346-11	V2	0.83	0.83	.
BxN-RIL-346-13	V2	3.24	3.24	.
BxN-RIL-346-14	V2	2.34	2.34	.
BxN-RIL-346-16	V2	2.83	2.83	.
BxN-RIL-346-17	V2	2.32	2.32	.
BxN-RIL-346-18	V2	1.27	1.27	.
BxN-RIL-346-19	V2	1.83	1.83	.
BxN-RIL-346-2	V2	2.13	2.13	.
BxN-RIL-346-20	V2	3.18	3.18	.
BxN-RIL-346-21	V2	1.27	1.27	.
BxN-RIL-346-22	V2	4.56	4.56	.
BxN-RIL-346-23	V2	3.87	3.87	.
BxN-RIL-346-24	V2	2.98	2.98	.
BxN-RIL-346-25	V2	3.97	3.97	.
BxN-RIL-346-27	V2	2.49	2.49	.
BxN-RIL-346-28	V2	3.15	3.15	.
BxN-RIL-346-3	V2	3.46	3.46	.
BxN-RIL-346-5	V2	2.15	2.15	.
BxN-RIL-346-6	V2	1.27	1.27	.
BxN-RIL-346-7	V2	2.15	2.15	.
BxN-RIL-346-8	V2	2.98	2.98	.
BxN-RIL-346-9	V2	2.93	2.93	.
BxN-RIL-347-10	V2	3.13	3.13	.
BxN-RIL-347-11	V2	1.42	1.42	.
BxN-RIL-347-12	V2	3.13	3.13	.
BxN-RIL-347-13	V2	0.86	0.86	.
